item_id,automatic_category,unanswerable,labeller_version
real:ctgov:NCT07732751:exc:02:00,none,no,2
comp:d6:012,negation_polarity,no,2
comp:d6:055,negation_polarity,no,2
real:ctgov:NCT07788586:inc:00:01,none,no,2
real:ctgov:NCT07701967:exc:00:01,none,no,2
comp:d2:010,logical_composition,no,2
comp:d6:005,negation_polarity,no,2
real:ctgov:NCT07695701:inc:00:00,none,no,2
comp:d6:049,logical_composition,no,2
real:ctgov:NCT07713602:inc:02:00,none,no,2
comp:d5:009,logical_composition,no,2
comp:d4:022,negation_polarity,no,2
comp:d2:007,logical_composition,no,2
comp:d4:031,negation_polarity,no,2
comp:d5:002,negation_polarity,no,2
real:ctgov:NCT07721922:inc:01:00,logical_composition,no,2
comp:d6:010,logical_composition,no,2
real:ctgov:NCT07753200:inc:00:00,none,no,2
comp:d4:003,logical_composition,no,2
comp:d5:021,logical_composition,no,2
real:ctgov:NCT07762794:inc:00:00,none,no,2
real:ctgov:NCT07700446:exc:02:01,logical_composition,no,2
comp:d2:006,logical_composition,no,2
comp:d5:032,logical_composition,no,2
comp:d4:033,logical_composition,no,2
comp:d6:046,negation_polarity,no,2
real:ctgov:NCT07683520:inc:00:00,negation_polarity,no,2
comp:d6:027,logical_composition,no,2
comp:d3:058,logical_composition,no,2
real:ctgov:NCT07695701:inc:00:01,none,no,2
comp:d3:031,logical_composition,no,2
real:ctgov:NCT07713914:exc:01:00,none,no,2
real:ctgov:NCT07741292:inc:00:00,none,no,2
comp:d3:040,negation_polarity,no,2
real:ctgov:NCT07682662:inc:00:01,none,no,2
comp:d4:037,logical_composition,no,2
real:ctgov:NCT07772986:exc:00:01,none,no,2
comp:d6:040,logical_composition,no,2
comp:d4:017,numeric_threshold,no,2
comp:d4:032,logical_composition,no,2
comp:d6:058,logical_composition,no,2
comp:d3:025,numeric_threshold,no,2
comp:d3:019,logical_composition,no,2
comp:d4:048,logical_composition,no,2
comp:d3:004,logical_composition,no,2
real:ctgov:NCT07695298:inc:00:01,negation_polarity,no,2
comp:d5:034,negation_polarity,no,2
comp:d6:000,logical_composition,no,2
real:ctgov:NCT07704658:inc:02:01,none,no,2
comp:d3:020,logical_composition,no,2
comp:d3:002,negation_polarity,no,2
real:ctgov:NCT07700446:exc:02:00,temporal,no,2
comp:d4:056,numeric_threshold,no,2
comp:d3:011,logical_composition,no,2
comp:d6:038,negation_polarity,no,2
comp:d3:046,negation_polarity,no,2
comp:d6:029,negation_polarity,no,2
comp:d5:030,negation_polarity,no,2
real:ctgov:NCT07741292:inc:00:01,none,no,2
comp:d3:016,logical_composition,no,2
comp:d6:048,logical_composition,no,2
comp:d6:039,logical_composition,no,2
real:ctgov:NCT07690397:inc:00:01,none,no,2
comp:d4:006,logical_composition,no,2
real:ctgov:NCT07706868:inc:02:00,none,no,2
comp:d6:035,negation_polarity,no,2
comp:d6:008,logical_composition,no,2
comp:d5:051,logical_composition,no,2
comp:d6:024,logical_composition,no,2
comp:d6:013,logical_composition,no,2
