item_id,arm,depth,annotator1,annotator2,clinical_judgement_required,adjudication_rule,resolved_category,resolution_note
comp:d2:007,compositional,2,logical_composition,temporal,False,resolve_on_merits,,
comp:d2:010,compositional,2,logical_composition,negation_polarity,False,resolve_on_merits,,
comp:d2:012,compositional,2,logical_composition,numeric_threshold,False,resolve_on_merits,,
comp:d2:027,compositional,2,temporal,logical_composition,False,resolve_on_merits,,
comp:d2:042,compositional,2,negation_polarity,implicit_knowledge,False,resolve_on_merits,,
comp:d2:054,compositional,2,logical_composition,implicit_knowledge,False,resolve_on_merits,,
comp:d3:002,compositional,3,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d3:004,compositional,3,logical_composition,numeric_threshold,False,resolve_on_merits,,
comp:d3:016,compositional,3,entity_conflation,logical_composition,False,resolve_on_merits,,
comp:d3:020,compositional,3,numeric_threshold,logical_composition,False,resolve_on_merits,,
comp:d3:026,compositional,3,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d3:031,compositional,3,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d3:033,compositional,3,logical_composition,entity_conflation,False,resolve_on_merits,,
comp:d3:034,compositional,3,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d3:038,compositional,3,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d3:040,compositional,3,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d3:046,compositional,3,negation_polarity,numeric_threshold,False,resolve_on_merits,,
comp:d3:048,compositional,3,fabrication,entity_conflation,True,annotator1_governs,,
comp:d4:001,compositional,4,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d4:005,compositional,4,fabrication,negation_polarity,False,resolve_on_merits,,
comp:d4:006,compositional,4,logical_composition,temporal,False,resolve_on_merits,,
comp:d4:008,compositional,4,numeric_threshold,logical_composition,False,resolve_on_merits,,
comp:d4:010,compositional,4,logical_composition,negation_polarity,False,resolve_on_merits,,
comp:d4:011,compositional,4,logical_composition,negation_polarity,False,resolve_on_merits,,
comp:d4:020,compositional,4,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d4:022,compositional,4,temporal,logical_composition,False,resolve_on_merits,,
comp:d4:023,compositional,4,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d4:026,compositional,4,temporal,logical_composition,False,resolve_on_merits,,
comp:d4:027,compositional,4,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d4:029,compositional,4,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d4:032,compositional,4,fabrication,logical_composition,False,resolve_on_merits,,
comp:d4:035,compositional,4,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d4:037,compositional,4,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d4:040,compositional,4,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d4:050,compositional,4,logical_composition,implicit_knowledge,False,resolve_on_merits,,
comp:d4:053,compositional,4,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d5:001,compositional,5,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d5:002,compositional,5,temporal,logical_composition,False,resolve_on_merits,,
comp:d5:003,compositional,5,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d5:006,compositional,5,numeric_threshold,logical_composition,False,resolve_on_merits,,
comp:d5:007,compositional,5,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d5:009,compositional,5,numeric_threshold,logical_composition,False,resolve_on_merits,,
comp:d5:014,compositional,5,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d5:030,compositional,5,numeric_threshold,logical_composition,False,resolve_on_merits,,
comp:d5:031,compositional,5,fabrication,entity_conflation,True,annotator1_governs,,
comp:d5:032,compositional,5,fabrication,entity_conflation,True,annotator1_governs,,
comp:d5:034,compositional,5,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d5:043,compositional,5,fabrication,logical_composition,False,resolve_on_merits,,
comp:d5:051,compositional,5,fabrication,logical_composition,False,resolve_on_merits,,
comp:d5:058,compositional,5,numeric_threshold,logical_composition,False,resolve_on_merits,,
comp:d5:059,compositional,5,fabrication,entity_conflation,True,annotator1_governs,,
comp:d6:000,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:003,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:006,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:008,compositional,6,fabrication,logical_composition,False,resolve_on_merits,,
comp:d6:011,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:012,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:015,compositional,6,entity_conflation,logical_composition,False,resolve_on_merits,,
comp:d6:017,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:018,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:024,compositional,6,numeric_threshold,logical_composition,False,resolve_on_merits,,
comp:d6:027,compositional,6,numeric_threshold,logical_composition,False,resolve_on_merits,,
comp:d6:029,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
comp:d6:034,compositional,6,negation_polarity,logical_composition,False,resolve_on_merits,,
